date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:20:06	165/165	---M-Z	200	added ('OK')	text/plain	date:Sat,%2030%20Aug%202025%2015:20:05%20GMT	https://be-it.com.mx/robots.txt		(from )
10:20:10	177849/177849	---MCZ	200	added ('OK')	text/html	date:Sat,%2030%20Aug%202025%2015:20:08%20GMT	https://be-it.com.mx/	C:/bck/macsoftware/be-it.com.mx/index.html	(from )
10:20:11	602648/602648	---M--	200	added ('OK')	image/jpeg	date:Thu,%2022%20Sep%202022%2016:29:33%20GMT	https://be-it.com.mx/wp-content/uploads/2022/06/cropped-icono_Be_IT_Principal.jpg	C:/bck/macsoftware/be-it.com.mx/wp-content/uploads/2022/06/cropped-icono_Be_IT_Principal.jpg	(from https://be-it.com.mx/)
10:20:11	40517/40517	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2017:50:33%20GMT	https://be-it.com.mx/wp-content/themes/astra/assets/css/minified/main.min.css?ver=3.9.2	C:/bck/macsoftware/be-it.com.mx/wp-content/themes/astra/assets/css/minified/main.min2e46.css	(from https://be-it.com.mx/)
10:20:11	744/744	---M-Z	200	added ('OK')	application/rss+xml	etag:%2228294bcc43cafa77083f34838c04e704%22	https://be-it.com.mx/comments/feed/	C:/bck/macsoftware/be-it.com.mx/comments/feed/index.html	(from https://be-it.com.mx/)
10:20:11	86093/86093	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Jul%202022%2019:05:36%20GMT	https://be-it.com.mx/wp-content/plugins/themesflat-addons-for-elementor/post-format/assets/css/iziModal.css?ver=5.9.3	C:/bck/macsoftware/be-it.com.mx/wp-content/plugins/themesflat-addons-for-elementor/post-format/assets/css/iziModal7404.css	(from https://be-it.com.mx/)
10:20:12	188556/188556	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2014:37:23%20GMT	https://be-it.com.mx/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.4.4	C:/bck/macsoftware/be-it.com.mx/wp-content/plugins/jeg-elementor-kit/assets/css/elements/mainfc3c.css	(from https://be-it.com.mx/)
10:20:12	59344/59344	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2014:26:52%20GMT	https://be-it.com.mx/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min.css?ver=5.9.3	C:/bck/macsoftware/be-it.com.mx/wp-content/plugins/elementor/assets/lib/font-awesome/css/all.min7404.css	(from https://be-it.com.mx/)
10:20:12	677/677	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Sep%202022%2014:26:52%20GMT	https://be-it.com.mx/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.9.3	C:/bck/macsoftware/be-it.com.mx/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min7404.css	(from https://be-it.com.mx/)
10:20:12	178815/178815	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Jul%202022%2019:05:36%20GMT	https://be-it.com.mx/wp-content/plugins/themesflat-addons-for-elementor/assets/css/tf-style.css?ver=5.9.3	C:/bck/macsoftware/be-it.com.mx/wp-content/plugins/themesflat-addons-for-elementor/assets/css/tf-style7404.css	(from https://be-it.com.mx/)
10:20:13	83419/83419	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Jul%202022%2019:08:51%20GMT	https://be-it.com.mx/wp-includes/css/dist/block-library/style.min.css?ver=5.9.3	C:/bck/macsoftware/be-it.com.mx/wp-includes/css/dist/block-library/style.min7404.css	(from https://be-it.com.mx/)
10:20:13	163850/163850	---MCZ	200	added ('OK')	application/rss+xml	etag:%227ca99a5d91e4a332566166d7cd8094a9%22	https://be-it.com.mx/feed/	C:/bck/macsoftware/be-it.com.mx/feed/index.html	(from https://be-it.com.mx/)
10:20:13	776/776	---M-Z	200	added ('OK')	text/css	date:Mon,%2006%20Nov%202023%2014:17:24%20GMT	https://be-it.com.mx/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.17	C:/bck/macsoftware/be-it.com.mx/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor10ef.css	(from https://be-it.com.mx/)
